Year,Google_Search_Billions,YouTube_Ads_Billions,Google_Network_Billions,Google_Cloud_Billions,Other_Revenues_Billions,Total_Revenue_Billions,Cloud_Growth_Rate
2017,78,10,18,4,1,111,0
2018,93,11,21,6,4,137,0.44
2019,98,15,22,9,18,162,0.53
2020,104,20,23,13,23,183,0.46
2021,149,29,32,19,29,258,0.47
2022,162,29,33,26,32,283,0.37
2023,175,32,31,33,36,307,0.26
2024,195,36,30,39,46,346,0.16
2025,219,42,29,46,50,385,0.19
