Row Labels,Sum of Market_Cap_Billions
2004,23
2005,112
2006,148
2007,211
2008,97
2009,194
2010,192
2011,203
2012,228
2013,362
2014,368
2015,536
2016,546
2017,730
2018,748
2019,921
2020,1180
2021,1920
2022,1150
2023,1760
2024,2150
2025,2450
Grand Total,16229
