Row Labels,Average of Adj Close
2004,4.51
2005,7.33
2006,11.33
2007,14
2008,13
2009,11.67
2010,14
2011,14.67
2012,16.33
2013,22.67
2014,28.2
2015,30.75
2016,37.67
2017,47.66666667
2018,54
2019,58.67
2020,70.25
2021,130.25
2022,113.6
2023,116
2024,165
2025,249
2026,351.73
Grand Total,45.84324324
